cell_file,Point,Target time,Recorded time,volt(V),% change vs end
PR_LFP_SelfDischarge_REPT_150_0338_0_100,End of charge,2025-11-14 16:01:36.875,2025-11-14 16:01:36.875,3.650022,0.0
PR_LFP_SelfDischarge_REPT_150_0338_0_100,End + 5 min,2025-11-14 16:06:36.875,2025-11-14 16:06:36.990,3.539429,-3.0299269429060898
PR_LFP_SelfDischarge_REPT_150_0338_0_100,End + 1 hr,2025-11-14 17:01:36.875,2025-11-14 17:01:37.108,3.451842,-5.429556315003028
PR_LFP_SelfDischarge_REPT_150_0338_0_100,End + 24 hr,2025-11-15 16:01:36.875,2025-11-15 16:01:36.897,3.395998,-6.959519696045663
PR_LFP_SelfDischarge_REPT_150_0339_0_100,End of charge,2025-11-14 16:06:41.226,2025-11-14 16:06:41.226,3.650019,0.0
PR_LFP_SelfDischarge_REPT_150_0339_0_100,End + 5 min,2025-11-14 16:11:41.226,2025-11-14 16:11:41.316,3.537447,-3.0841483290908926
PR_LFP_SelfDischarge_REPT_150_0339_0_100,End + 1 hr,2025-11-14 17:06:41.226,2025-11-14 17:06:41.518,3.453507,-5.383862385373879
PR_LFP_SelfDischarge_REPT_150_0339_0_100,End + 24 hr,2025-11-15 16:06:41.226,2025-11-15 16:06:42.011,3.396305,-6.951032309694827
PR_LFP_SelfDischarge_REPT_150_0340_0_100,End of charge,2025-11-14 16:04:58.718,2025-11-14 16:04:58.718,3.650019,0.0
PR_LFP_SelfDischarge_REPT_150_0340_0_100,End + 5 min,2025-11-14 16:09:58.718,2025-11-14 16:09:59.329,3.533957,-3.179764269720237
PR_LFP_SelfDischarge_REPT_150_0340_0_100,End + 1 hr,2025-11-14 17:04:58.718,2025-11-14 17:04:59.119,3.447846,-5.538957468440567
PR_LFP_SelfDischarge_REPT_150_0340_0_100,End + 24 hr,2025-11-15 16:04:58.718,2025-11-15 16:04:59.177,3.384746,-7.267715592713356
PR_LFP_SelfDischarge_REPT_150_0341_0_100,End of charge,2025-11-14 16:00:02.598,2025-11-14 16:00:02.598,3.650017,0.0
PR_LFP_SelfDischarge_REPT_150_0341_0_100,End + 5 min,2025-11-14 16:05:02.598,2025-11-14 16:05:03.209,3.540201,-3.008643521386336
PR_LFP_SelfDischarge_REPT_150_0341_0_100,End + 1 hr,2025-11-14 17:00:02.598,2025-11-14 17:00:03.349,3.455538,-5.328166964701804
PR_LFP_SelfDischarge_REPT_150_0341_0_100,End + 24 hr,2025-11-15 16:00:02.598,2025-11-15 16:00:03.330,3.391637,-7.078871139504289
PR_LFP_SelfDischarge_REPT_150_0342_0_100,End of charge,2025-11-14 16:05:27.316,2025-11-14 16:05:27.316,3.650015,0.0
PR_LFP_SelfDischarge_REPT_150_0342_0_100,End + 5 min,2025-11-14 16:10:27.316,2025-11-14 16:10:27.956,3.533955,-3.179712960083715
PR_LFP_SelfDischarge_REPT_150_0342_0_100,End + 1 hr,2025-11-14 17:05:27.316,2025-11-14 17:05:27.947,3.439939,-5.755483196644396
PR_LFP_SelfDischarge_REPT_150_0342_0_100,End + 24 hr,2025-11-15 16:05:27.316,2025-11-15 16:05:27.384,3.3685,-7.712708029966993
PR_LFP_SelfDischarge_REPT_150_0343_0_100,End of charge,2025-11-14 16:01:37.229,2025-11-14 16:01:37.229,3.650017,0.0
PR_LFP_SelfDischarge_REPT_150_0343_0_100,End + 5 min,2025-11-14 16:06:37.229,2025-11-14 16:06:37.276,3.543199,-2.9265069176390157
PR_LFP_SelfDischarge_REPT_150_0343_0_100,End + 1 hr,2025-11-14 17:01:37.229,2025-11-14 17:01:37.430,3.474516,-4.808224180873681
PR_LFP_SelfDischarge_REPT_150_0343_0_100,End + 24 hr,2025-11-15 16:01:37.229,2025-11-15 16:01:37.484,3.426098,-6.134738550532778
PR_LFP_SelfDischarge_REPT_150_0344_0_100,End of charge,2025-11-14 16:00:59.995,2025-11-14 16:00:59.995,3.65002,0.0
PR_LFP_SelfDischarge_REPT_150_0344_0_100,End + 5 min,2025-11-14 16:05:59.995,2025-11-14 16:06:00.466,3.534923,-3.1533251872592483
PR_LFP_SelfDischarge_REPT_150_0344_0_100,End + 1 hr,2025-11-14 17:00:59.995,2025-11-14 17:01:00.150,3.441608,-5.709886521169747
PR_LFP_SelfDischarge_REPT_150_0344_0_100,End + 24 hr,2025-11-15 16:00:59.995,2025-11-15 16:01:00.821,3.380024,-7.397110152821078
PR_LFP_SelfDischarge_REPT_150_0345_0_100,End of charge,2025-11-14 16:06:39.464,2025-11-14 16:06:39.464,3.65002,0.0
PR_LFP_SelfDischarge_REPT_150_0345_0_100,End + 5 min,2025-11-14 16:11:39.464,2025-11-14 16:11:39.530,3.532693,-3.214420742900038
PR_LFP_SelfDischarge_REPT_150_0345_0_100,End + 1 hr,2025-11-14 17:06:39.464,2025-11-14 17:06:39.739,3.443929,-5.646297828505055
PR_LFP_SelfDischarge_REPT_150_0345_0_100,End + 24 hr,2025-11-15 16:06:39.464,2025-11-15 16:06:39.890,3.385272,-7.253330118739075
PR_LFP_SelfDischarge_REPT_150_0346_0_100,End of charge,2025-11-14 16:03:37.659,2025-11-14 16:03:37.659,3.650019,0.0
